period,from_currency,to_currency,spot_rate,avg_rate
2024-01,USD,USD,1.0000,1.0000
2024-01,GBP,USD,1.2807,1.2785
2024-01,EUR,USD,1.0881,1.0859
2024-02,USD,USD,1.0000,1.0000
2024-02,GBP,USD,1.2895,1.2934
2024-02,EUR,USD,1.1024,1.0991
2024-03,USD,USD,1.0000,1.0000
2024-03,GBP,USD,1.2845,1.2817
2024-03,EUR,USD,1.0847,1.0847
2024-04,USD,USD,1.0000,1.0000
2024-04,GBP,USD,1.2752,1.2767
2024-04,EUR,USD,1.0859,1.0863
2024-05,USD,USD,1.0000,1.0000
2024-05,GBP,USD,1.2815,1.2846
2024-05,EUR,USD,1.0919,1.0880
2024-06,USD,USD,1.0000,1.0000
2024-06,GBP,USD,1.2974,1.2958
2024-06,EUR,USD,1.0908,1.0880
2024-07,USD,USD,1.0000,1.0000
2024-07,GBP,USD,1.2982,1.2941
2024-07,EUR,USD,1.0784,1.0752
2024-08,USD,USD,1.0000,1.0000
2024-08,GBP,USD,1.2896,1.2927
2024-08,EUR,USD,1.0812,1.0830
2024-09,USD,USD,1.0000,1.0000
2024-09,GBP,USD,1.2739,1.2727
2024-09,EUR,USD,1.0869,1.0873
2024-10,USD,USD,1.0000,1.0000
2024-10,GBP,USD,1.2761,1.2797
2024-10,EUR,USD,1.0758,1.0764
2024-11,USD,USD,1.0000,1.0000
2024-11,GBP,USD,1.2661,1.2634
2024-11,EUR,USD,1.0602,1.0585
2024-12,USD,USD,1.0000,1.0000
2024-12,GBP,USD,1.2423,1.2383
2024-12,EUR,USD,1.0637,1.0619
2025-01,USD,USD,1.0000,1.0000
2025-01,GBP,USD,1.2555,1.2542
2025-01,EUR,USD,1.0668,1.0645
2025-02,USD,USD,1.0000,1.0000
2025-02,GBP,USD,1.2430,1.2445
2025-02,EUR,USD,1.0814,1.0823
2025-03,USD,USD,1.0000,1.0000
2025-03,GBP,USD,1.2410,1.2376
2025-03,EUR,USD,1.0782,1.0772
2025-04,USD,USD,1.0000,1.0000
2025-04,GBP,USD,1.2684,1.2690
2025-04,EUR,USD,1.0786,1.0801
2025-05,USD,USD,1.0000,1.0000
2025-05,GBP,USD,1.2687,1.2660
2025-05,EUR,USD,1.0849,1.0812
2025-06,USD,USD,1.0000,1.0000
2025-06,GBP,USD,1.2589,1.2560
2025-06,EUR,USD,1.0763,1.0798
2025-07,USD,USD,1.0000,1.0000
2025-07,GBP,USD,1.2823,1.2839
2025-07,EUR,USD,1.0811,1.0803
2025-08,USD,USD,1.0000,1.0000
2025-08,GBP,USD,1.2899,1.2875
2025-08,EUR,USD,1.0883,1.0863
2025-09,USD,USD,1.0000,1.0000
2025-09,GBP,USD,1.2850,1.2858
2025-09,EUR,USD,1.0870,1.0902
2025-10,USD,USD,1.0000,1.0000
2025-10,GBP,USD,1.2843,1.2893
2025-10,EUR,USD,1.0889,1.0890
2025-11,USD,USD,1.0000,1.0000
2025-11,GBP,USD,1.2774,1.2735
2025-11,EUR,USD,1.0870,1.0880
2025-12,USD,USD,1.0000,1.0000
2025-12,GBP,USD,1.2985,1.2941
2025-12,EUR,USD,1.0975,1.0966
